attack,length,anchor_len,weight_preset,decoder,n,mean_hit_rate,mean_ber,exact_rate,crc_pass_rate
delete10,50,6,loose_gap,syncmark_position_vote,19,0.6085526315789473,0.39144736842105265,0.0,0.10526315789473684
delete10,100,6,anchor_heavy,syncmark_alignment,19,0.5197368421052632,0.48026315789473684,0.0,0.10526315789473684
delete10,100,6,anchor_heavy,syncmark_position_vote,19,0.5230263157894737,0.4769736842105263,0.0,0.05263157894736842
delete10,100,6,current,syncmark_alignment,19,0.5723684210526315,0.4276315789473685,0.0,0.0
delete10,100,6,current,syncmark_position_vote,19,0.5230263157894737,0.4769736842105263,0.0,0.05263157894736842
delete10,100,6,default,syncmark_alignment,19,0.5394736842105263,0.4605263157894737,0.0,0.10526315789473684
delete10,100,6,default,syncmark_position_vote,19,0.5230263157894737,0.4769736842105263,0.0,0.05263157894736842
delete10,100,6,loose_gap,syncmark_alignment,19,0.5328947368421053,0.4671052631578947,0.0,0.05263157894736842
delete10,100,6,loose_gap,syncmark_position_vote,19,0.5230263157894737,0.4769736842105263,0.0,0.05263157894736842
delete10,150,6,anchor_heavy,syncmark_alignment,1,0.625,0.375,0.0,1.0
delete10,150,6,anchor_heavy,syncmark_position_vote,1,0.625,0.375,0.0,0.0
delete10,150,6,current,syncmark_alignment,1,0.6875,0.3125,0.0,0.0
delete10,150,6,current,syncmark_position_vote,1,0.625,0.375,0.0,0.0
delete10,150,6,default,syncmark_alignment,1,0.625,0.375,0.0,1.0
delete10,150,6,default,syncmark_position_vote,1,0.625,0.375,0.0,0.0
delete10,150,6,loose_gap,syncmark_alignment,1,0.75,0.25,0.0,0.0
delete10,150,6,loose_gap,syncmark_position_vote,1,0.625,0.375,0.0,0.0
delete15,50,6,anchor_heavy,syncmark_alignment,19,0.5493421052631579,0.45065789473684215,0.0,0.0
delete15,50,6,anchor_heavy,syncmark_position_vote,19,0.4901315789473684,0.5098684210526316,0.0,0.05263157894736842
delete15,50,6,current,syncmark_alignment,19,0.5855263157894737,0.4144736842105263,0.0,0.0
delete15,50,6,current,syncmark_position_vote,19,0.4901315789473684,0.5098684210526316,0.0,0.05263157894736842
